_key,endTime,artistName,trackName,msPlayed
3417,2025-04-08 03:18,Billie Eilish,Oxytocin,210232
3418,2025-04-08 03:18,Billie Eilish,Six Feet Under - BLU J Remix,4648
3419,2025-04-08 03:18,Billie Eilish,Male Fantasy,1888
3420,2025-04-08 03:18,Billie Eilish,Six Feet Under,949
3421,2025-04-08 03:23,Billie Eilish,Getting Older,244221
3422,2025-04-08 03:28,Billie Eilish,BLUE,343120
3423,2025-04-08 03:33,Billie Eilish,wish you were gay,221543
3424,2025-04-08 03:33,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",3311
3425,2025-04-08 03:36,Billie Eilish,my boy,170852
3426,2025-04-08 03:39,Billie Eilish,8,173201
3427,2025-04-08 03:44,Billie Eilish,THE GREATEST,293840
3428,2025-04-08 03:47,Billie Eilish,bellyache,179172
3429,2025-04-08 03:48,Billie Eilish,No Time To Die,554
3430,2025-04-08 03:48,Billie Eilish,Ocean Eyes - Astronomyy Remix,640
3431,2025-04-08 03:48,Billie Eilish,Halley's Comet,490
3432,2025-04-08 03:48,Billie Eilish,Not My Responsibility,629
3433,2025-04-08 03:48,Billie Eilish,Therefore I Am,693
3434,2025-04-08 03:48,Billie Eilish,Six Feet Under - Jerry Folk Remix,15760
3435,2025-04-08 03:52,Billie Eilish,No Time To Die,242265
3436,2025-04-08 03:55,Billie Eilish,Therefore I Am,174321
3437,2025-04-08 03:59,Billie Eilish,COPYCAT,194711
3438,2025-04-08 04:02,Billie Eilish,all the good girls go to hell,159565
3439,2025-04-08 04:06,Billie Eilish,my future,210005
3440,2025-04-08 04:09,Billie Eilish,bury a friend,193143
3441,2025-04-08 04:14,Billie Eilish,BITTERSUITE,298440
3442,2025-04-08 04:14,Billie Eilish,Six Feet Under - Gazzo Remix,8015
3443,2025-04-08 04:17,Billie Eilish,bad guy (with Justin Bieber),194839
3444,2025-04-08 04:20,Billie Eilish,watch,177523
3445,2025-04-08 04:24,Billie Eilish,WILDFLOWER,261466
3446,2025-04-08 04:26,Billie Eilish,Bellyache - Marian Hill Remix,72521
3447,2025-04-08 04:31,Billie Eilish,i love you,291796
3448,2025-04-08 04:36,Billie Eilish,Happier Than Ever,298899
3449,2025-04-08 04:36,Billie Eilish,Ocean Eyes - GOLDHOUSE Remix,19238
3450,2025-04-08 04:40,Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],246463
3451,2025-04-08 15:05,Billie Eilish,GOLDWING,150580
3452,2025-04-08 15:09,Billie Eilish,Lost Cause,212496
3453,2025-04-08 15:11,Billie Eilish,I Didn't Change My Number,158463
3454,2025-04-08 15:16,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,270519
3455,2025-04-08 15:19,Olivia Rodrigo,drivers license,190334
3456,2025-04-08 15:37,Tate McRae,Purple lace bra,191132
3457,2025-04-08 15:38,Tate McRae,Miss possessive,2510
3458,2025-04-08 15:38,Tate McRae,Revolving door,1400
3459,2025-04-08 15:38,Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],102637
3460,2025-04-08 15:39,Tate McRae,Dear god,2240
3461,2025-04-08 15:40,Madison Beer,Make You Mine,82480
3462,2025-04-08 16:12,Billie Eilish,I Didn't Change My Number,2540
3463,2025-04-08 16:12,Billie Eilish,Lost Cause,183750
3464,2025-04-08 16:14,Billie Eilish,GOLDWING,104420
3465,2025-04-08 16:14,Billie Eilish,Lost Cause,683
3466,2025-04-08 16:15,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,61320
3467,2025-04-08 16:20,Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],271969
3468,2025-04-08 16:22,Tate McRae,Miss possessive,139098
3469,2025-04-08 16:25,Tate McRae,Revolving door,180032
3470,2025-04-08 16:28,Tate McRae,Dear god,171014
3471,2025-04-08 16:29,Madison Beer,Make You Mine,83923
3472,2025-04-08 16:32,Tate McRae,Sports car,165045
3473,2025-04-08 16:35,Billie Eilish,Therefore I Am,730
3474,2025-04-08 16:35,Татьяна Куртукова,Матушка,1390
3475,2025-04-08 16:35,Татьяна Куртукова,Ромашка-Василёк,212744
3476,2025-04-08 16:38,Татьяна Куртукова,Матушка,172993
3477,2025-04-08 16:41,Billie Eilish,Therefore I Am,173539
3478,2025-04-08 16:44,Billie Eilish,NDA,195776
3479,2025-04-08 16:48,Billie Eilish,OverHeated,214058
3480,2025-04-08 16:51,Billie Eilish,Oxytocin,210232
3481,2025-04-08 16:56,Billie Eilish,Billie Bossa Nova,9520
3482,2025-04-08 17:01,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,270519
3483,2025-04-08 17:03,Billie Eilish,GOLDWING,151536
3484,2025-04-08 17:07,Olivia Rodrigo,drivers license,242013
3485,2025-04-08 17:38,Tate McRae,Purple lace bra,11059
3486,2025-04-08 19:09,Billie Eilish,GOLDWING,117053
3487,2025-04-08 19:13,Billie Eilish,my strange addiction,179889
3488,2025-04-08 19:17,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,270519
3489,2025-04-08 19:22,Billie Eilish,TV,281380
3490,2025-04-08 19:52,Billie Eilish,goodbye,119409
3491,2025-04-08 19:55,Billie Eilish,Bored,180933
3492,2025-04-08 19:59,Billie Eilish,Lost Cause,212496
3493,2025-04-08 20:04,Billie Eilish,everything i wanted,245425
3494,2025-04-08 20:06,Billie Eilish,8,79399
3495,2025-04-08 20:08,Billie Eilish,Lo Vas A Olvidar (with ROSALÍA),57130
3496,2025-04-08 20:11,Billie Eilish,lovely (with Khalid),200185
3497,2025-04-08 20:24,Billie Eilish,idontwannabeyouanymore,203569
3498,2025-04-09 01:19,Billie Eilish,THE GREATEST,65156
3499,2025-04-09 01:19,Billie Eilish,idontwannabeyouanymore,1589
3500,2025-04-09 01:24,Billie Eilish,THE GREATEST,293840
3501,2025-04-09 01:25,Billie Eilish,Six Feet Under - Jerry Folk Remix,35462
3502,2025-04-09 01:27,Billie Eilish,GOLDWING,113483
3503,2025-04-09 01:30,Billie Eilish,NDA,195776
3504,2025-04-09 01:33,Billie Eilish,Male Fantasy,194886
3505,2025-04-09 01:37,Billie Eilish,SKINNY,219733
3506,2025-04-09 01:42,Billie Eilish,CHIHIRO,303440
3507,2025-04-09 01:45,Billie Eilish,ocean eyes,200379
3508,2025-04-09 02:24,Billie Eilish,BLUE,343120
3509,2025-04-09 02:29,Billie Eilish,xanny,243725
3510,2025-04-09 02:32,Billie Eilish,party favor,204770
3511,2025-04-09 02:36,Billie Eilish,listen before i go,242652
3512,2025-04-09 02:40,Billie Eilish,Therefore I Am,173539
3513,2025-04-09 02:43,Billie Eilish,!!!!!!!,13578
3514,2025-04-09 02:43,Billie Eilish,LUNCH,179586
3515,2025-04-09 02:46,Billie Eilish,bitches broken hearts,176471
3516,2025-04-09 02:50,Billie Eilish,Oxytocin,210232
3517,2025-04-09 02:53,Billie Eilish,my boy,170852
3518,2025-04-09 02:55,Billie Eilish,bury a friend,586
3519,2025-04-09 02:55,Billie Eilish,COPYCAT - Sofi Tukker Remix,725
3520,2025-04-09 02:55,Billie Eilish,Happier Than Ever - Edit,12042
3521,2025-04-09 02:55,Billie Eilish,my future,714
3522,2025-04-09 02:55,Billie Eilish,I Didn't Change My Number,158463
3523,2025-04-09 02:59,Billie Eilish,WILDFLOWER,216373
3524,2025-04-09 03:11,Billie Eilish,Happier Than Ever,693
3525,2025-04-09 03:11,Billie Eilish,The 30th,853
3526,2025-04-09 03:11,Billie Eilish,Six Feet Under - Gazzo Remix,1493
3527,2025-04-09 03:11,Taylor Swift,Fortnight (feat. Post Malone),222869
3528,2025-04-09 03:11,Billie Eilish,&burn (with Vince Staples),661
3529,2025-04-09 03:16,Billie Eilish,&burn (with Vince Staples),179015
3530,2025-04-09 03:21,Billie Eilish,Happier Than Ever,298899
3531,2025-04-09 03:22,Billie Eilish,Ocean Eyes - Blackbear Remix,53980
3532,2025-04-09 03:22,Billie Eilish,Not My Responsibility,2997
3533,2025-04-09 03:25,Billie Eilish,you should see me in a crown,180952
3534,2025-04-09 03:43,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",89049
3535,2025-04-09 03:46,Billie Eilish,bad guy,194087
3536,2025-04-09 03:48,Billie Eilish,i love you,141881
3537,2025-04-09 03:49,Billie Eilish,listen before i go,810
3538,2025-04-09 03:49,Billie Eilish,goodbye,778
3539,2025-04-09 03:49,Billie Eilish,BITTERSUITE,1013
3540,2025-04-09 03:49,Billie Eilish,Six Feet Under - BLU J Remix,650
3541,2025-04-09 03:54,Billie Eilish,BITTERSUITE,298440
3542,2025-04-09 03:58,Billie Eilish,listen before i go,242652
3543,2025-04-09 04:01,Billie Eilish,hostage,229425
3544,2025-04-09 04:05,Billie Eilish,Getting Older,244221
3545,2025-04-09 04:10,Billie Eilish,No Time To Die,242265
3546,2025-04-09 04:10,Billie Eilish,Lost Cause,3119
3547,2025-04-09 04:14,Billie Eilish,No Time To Die,242265
3548,2025-04-09 04:17,Billie Eilish,bury a friend,13668
3549,2025-04-09 04:17,Billie Eilish,Lost Cause,212496
3550,2025-04-09 16:07,Billie Eilish,GOLDWING,104576
3551,2025-04-09 16:22,Billie Eilish,I Didn't Change My Number,2075
3552,2025-04-09 16:22,Billie Eilish,Lost Cause,212496
3553,2025-04-09 16:26,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,253781
3554,2025-04-09 16:31,Billie Eilish,GOLDWING,682
3555,2025-04-09 16:35,Billie Eilish,bury a friend,179479
3556,2025-04-09 16:38,Billie Eilish,COPYCAT,194711
3557,2025-04-09 16:41,Billie Eilish,ilomilo - Live From The Film - Billie Eilish: The World’s A Little Blurry,164051
3558,2025-04-09 16:44,Billie Eilish,NDA,195776
3559,2025-04-09 16:48,Billie Eilish,xanny,243725
3560,2025-04-09 16:51,Billie Eilish,Bellyache - Marian Hill Remix,135318
3561,2025-04-09 17:01,Billie Eilish,WILDFLOWER,261466
3562,2025-04-09 17:04,Billie Eilish,when the party's over,196077
3563,2025-04-09 17:07,Billie Eilish,Therefore I Am,174321
3564,2025-04-09 20:18,Billie Eilish,THE GREATEST,171466
3565,2025-04-09 22:26,Billie Eilish,THE GREATEST,293840
3566,2025-04-09 22:28,Billie Eilish,THE DINER,149372
3567,2025-04-09 22:29,Dimension 32,O Christmas Tree,40714
3568,2025-04-09 22:30,Dimension 32,Spring Fields,40480
3569,2025-04-09 22:32,Billie Eilish,I Didn't Change My Number,158463
3570,2025-04-09 22:37,Billie Eilish,TV,281380
3571,2025-04-09 22:40,Billie Eilish,Male Fantasy,194886
3572,2025-04-09 22:43,Billie Eilish,!!!!!!!,13578
3573,2025-04-09 22:43,Billie Eilish,my boy,170852
3574,2025-04-09 22:53,Billie Eilish,watch,177523
3575,2025-04-09 22:56,Billie Eilish,bad guy (with Justin Bieber),194839
3576,2025-04-09 22:57,Billie Eilish,Lo Vas A Olvidar (with ROSALÍA),44804
3577,2025-04-09 23:01,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,270519
3578,2025-04-09 23:07,Billie Eilish,L’AMOUR DE MA VIE,333986
3579,2025-04-09 23:10,Billie Eilish,Oxytocin,210232
3580,2025-04-09 23:12,Billie Eilish,Six Feet Under - BLU J Remix,64646
3581,2025-04-09 23:15,Billie Eilish,come out and play,210375
3582,2025-04-09 23:20,Billie Eilish,Ocean Eyes - Astronomyy Remix,296266
3583,2025-04-09 23:21,Billie Eilish,Ocean Eyes - GOLDHOUSE Remix,70661
3584,2025-04-09 23:23,Billie Eilish,Six Feet Under - Gazzo Remix,128736
3585,2025-04-09 23:27,Billie Eilish,Happier Than Ever - Edit,151444
3586,2025-04-09 23:32,Billie Eilish,ocean eyes,200379
3587,2025-04-09 23:35,Billie Eilish,8,173201
3588,2025-04-09 23:38,Billie Eilish,LUNCH,179586
3589,2025-04-09 23:47,Billie Eilish,Bellyache - Marian Hill Remix,220800
3590,2025-04-09 23:52,Billie Eilish,i love you,291796
3591,2025-04-09 23:56,Billie Eilish,Ocean Eyes - Blackbear Remix,89029
3592,2025-04-09 23:58,Billie Eilish,Six Feet Under,146197
3593,2025-04-10 00:02,Billie Eilish,SKINNY,219733
3594,2025-04-10 00:07,Billie Eilish,BIRDS OF A FEATHER,209430
3595,2025-04-10 00:12,Billie Eilish,WILDFLOWER,261466
3596,2025-04-10 01:24,Billie Eilish,hotline (edit),6901
3597,2025-04-10 01:24,Billie Eilish,bitches broken hearts,101526
3598,2025-04-10 01:40,Billie Eilish,Therefore I Am,125930
3599,2025-04-10 01:41,Billie Eilish,OverHeated,2218
3600,2025-04-10 01:41,Billie Eilish,The 30th,95
3601,2025-04-10 01:41,Billie Eilish,The 30th,1610
3602,2025-04-10 01:41,Billie Eilish,bitches broken hearts,10186
3603,2025-04-10 01:41,Billie Eilish,bitches broken hearts,15050
3604,2025-04-10 01:41,Billie Eilish,THE GREATEST,522
3605,2025-04-10 01:41,Billie Eilish,THE GREATEST,458
3606,2025-04-10 02:13,Billie Eilish,The 30th,36713
3607,2025-04-10 02:13,Billie Eilish,THE GREATEST,293840
3608,2025-04-10 10:53,Billie Eilish,OverHeated,96989
3609,2025-04-10 10:55,Taylor Swift,Fortnight (feat. Post Malone),227980
3610,2025-04-10 11:00,Taylor Swift,The Tortured Poets Department,292074
3611,2025-04-10 11:03,Taylor Swift,My Boy Only Breaks His Favorite Toys,202826
3612,2025-04-10 11:04,Taylor Swift,Down Bad,70265
3613,2025-04-10 11:09,Taylor Swift,"So Long, London",262000
3614,2025-04-10 11:09,Taylor Swift,Fresh Out The Slammer,920
3615,2025-04-10 11:09,Taylor Swift,But Daddy I Love Him,675
3616,2025-04-10 11:15,Taylor Swift,Florida!!! (feat. Florence + The Machine),365370
3617,2025-04-10 11:15,Taylor Swift,Guilty as Sin?,21556
3618,2025-04-10 11:19,Taylor Swift,I Can Fix Him (No Really I Can),1060
3619,2025-04-10 11:19,Taylor Swift,Chloe or Sam or Sophia or Marcus,490
3620,2025-04-10 11:19,Taylor Swift,Clara Bow,560
3621,2025-04-10 11:19,Taylor Swift,I Can Do It With a Broken Heart,1130
3622,2025-04-10 11:19,Taylor Swift,How Did It End?,880
3623,2025-04-10 11:19,Taylor Swift,loml,2060
3624,2025-04-10 11:19,Taylor Swift,The Smallest Man Who Ever Lived,5490
3625,2025-04-10 11:19,Taylor Swift,Who’s Afraid of Little Old Me?,234690
3626,2025-04-10 11:19,Taylor Swift,The Black Dog,470
3627,2025-04-10 11:19,Taylor Swift,imgonnagetyouback,580
3628,2025-04-10 11:19,Taylor Swift,So High School,2040
3629,2025-04-10 11:19,Taylor Swift,The Albatross,580
3630,2025-04-10 11:19,Taylor Swift,The Alchemy,640
3631,2025-04-10 11:23,Taylor Swift,How Did It End?,237750
3632,2025-04-10 11:27,Taylor Swift,So High School,227843
3633,2025-04-10 11:31,Taylor Swift,The Prophecy,780
3634,2025-04-10 11:31,Taylor Swift,thanK you aIMee,17877
3635,2025-04-10 11:31,Taylor Swift,Cassandra,1040
3636,2025-04-10 11:31,Taylor Swift,I Look in People's Windows,680
3637,2025-04-10 11:31,Taylor Swift,I Hate It Here,242883
3638,2025-04-10 11:36,Taylor Swift,The Prophecy,248830
3639,2025-04-10 11:40,Taylor Swift,Cassandra,141002
3640,2025-04-10 11:40,Taylor Swift,Peter,970
3641,2025-04-10 11:41,Taylor Swift,Robin,800
3642,2025-04-10 11:41,Taylor Swift,The Bolter,1320
3643,2025-04-10 11:44,Taylor Swift,The Manuscript,200620
3644,2025-04-10 11:45,Taylor Swift,Florida!!! (feat. Florence + The Machine),90800
3645,2025-04-10 11:49,Taylor Swift,My Boy Only Breaks His Favorite Toys,202850
3646,2025-04-10 11:51,Taylor Swift,Down Bad,130048
3647,2025-04-10 11:51,Taylor Swift,"So Long, London",760
3648,2025-04-10 11:52,Taylor Swift,But Daddy I Love Him,65110
3649,2025-04-10 11:59,Billie Eilish,GOLDWING,150560
3650,2025-04-10 12:03,Billie Eilish,Lost Cause,212496
3651,2025-04-10 12:05,Billie Eilish,I Didn't Change My Number,158463
3652,2025-04-10 12:10,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,270519
3653,2025-04-10 12:14,Olivia Rodrigo,drivers license,242013
3654,2025-04-10 12:17,Tate McRae,Purple lace bra,191132
3655,2025-04-10 12:21,Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],271969
3656,2025-04-10 12:24,Tate McRae,Miss possessive,139098
3657,2025-04-10 12:26,Tate McRae,Revolving door,180032
3658,2025-04-10 12:29,Tate McRae,Dear god,171014
3659,2025-04-10 12:29,Madison Beer,Make You Mine,5153
